# Program-scoped tags for Program050000_Station200_UpStacker
#
# name , datatype , dimensions , default , description
#
# Nearly all of these exist because IAI's instructions require an
# argument for every parameter. The only ones you touch to move the
# axis are UpAxis_Target and UpAxis_Cmd_StartMove.

# ---- IAI instruction backing tags ---------------------------------
UpAxis_Sts , SCON_Status     , , , SCON_Status backing tag
UpAxis_Ops , SCON_Operations , , , SCON_Operations backing tag
UpAxis_Mov , SCON_Moves      , , , SCON_Moves backing tag

# ---- status, filled in by SCON_Status -----------------------------
UpAxis_Position            , DINT , , 0 , Actual position, 0.01mm
UpAxis_Speed               , DINT , , 0 , Actual speed, 0.01mm/s
UpAxis_AlarmActive         , BOOL , , 0 , Drive alarm active (ALM)
UpAxis_AlarmCode           , INT  , , 0 , Drive alarm code
UpAxis_BatteryAlarm        , BOOL , , 0 , Battery alarm (BALM)
UpAxis_CommandCurrent      , DINT , , 0 , Command current
UpAxis_HomeComplete        , BOOL , , 0 , Home complete (HEND)
UpAxis_Homing              , BOOL , , 0 , Homing in progress (GHMS)
UpAxis_EStop               , BOOL , , 0 , Drive E-stop (EMGS)
UpAxis_InPushZone          , BOOL , , 0 , In push zone (PUSHS)
UpAxis_InPZone             , BOOL , , 0 , In PZONE
UpAxis_InZone1             , BOOL , , 0 , In zone 1 (ZONE1)
UpAxis_InZone2             , BOOL , , 0 , In zone 2 (ZONE2)
UpAxis_LoadReached         , BOOL , , 0 , Load output reached
UpAxis_DriveManualMode     , BOOL , , 0 , Drive in manual mode (RMDS)
UpAxis_Moving              , BOOL , , 0 , Moving (MOVE)
UpAxis_PositionComplete    , BOOL , , 0 , Position complete (PEND). This is the arrival confirmation
UpAxis_PushFailed          , BOOL , , 0 , Push failed (PSFL)
UpAxis_DriveReady          , BOOL , , 0 , Drive ready (RDY)
UpAxis_ServoOn             , BOOL , , 0 , Servo is on (SV)
UpAxis_TorqueReached       , BOOL , , 0 , Torque level reached (TRQS)
UpAxis_TotalMoveCount      , DINT , , 0 , Total moving count
UpAxis_TotalMoveDistance   , DINT , , 0 , Total moving distance

# ---- commands into SCON_Operations --------------------------------
UpAxis_Cmd_ServoOn         , BOOL , , 0 , Servo enable
UpAxis_Cmd_Pause           , BOOL , , 0 , Pause the drive (STP)
UpAxis_Cmd_Inch            , BOOL , , 0 , Inch select (JISL). Leave off for continuous jog
UpAxis_Cmd_JogFwd          , BOOL , , 0 , Jog forward (JOG+), runs while held
UpAxis_Cmd_JogRev          , BOOL , , 0 , Jog reverse (JOG-), runs while held
UpAxis_Cmd_Reset           , BOOL , , 0 , Alarm reset (RES)
UpAxis_Cmd_BrakeRelease    , BOOL , , 0 , Brake release (BKRL)

# ---- commands into SCON_Moves -------------------------------------
UpAxis_Cmd_Home            , BOOL , , 0  , Rising edge homes the axis
UpAxis_Cmd_StartMove       , BOOL , , 0  , Rising edge runs a move to Target. This is the go command
UpAxis_Target              , DINT , , 0  , Where to go, 0.01mm. Set this before pulsing Cmd_StartMove
UpAxis_Band                , DINT , , 50 , In-position band, 0.01mm
UpAxis_Increment_Select    , BOOL , , 0  , Relative move (INC). Off = absolute moves
UpAxis_Push_Select         , BOOL , , 0  , Push mode. Off = positioning only
UpAxis_Push_Direction      , BOOL , , 0  , Push direction. Unused
UpAxis_Push_Percent        , INT  , , 0  , Push force percent. Unused
UpAxis_Load_Threshold      , INT  , , 0  , Load threshold percent. Unused
UpAxis_PZone_Upper         , DINT , , 0  , PZONE upper limit. Unused
UpAxis_PZone_Lower         , DINT , , 0  , PZONE lower limit. Unused
