# Program-scoped tags for Program090000_Station600_DownStacker
#
# name , datatype , dimensions , default , description
#
# Nearly all of these exist because IAI's instructions require an
# argument for every parameter. The only ones you touch to move the
# axis are DnAxis_Target and DnAxis_Cmd_StartMove.

# ---- IAI instruction backing tags ---------------------------------
DnAxis_Sts , SCON_Status     , , , SCON_Status backing tag
DnAxis_Ops , SCON_Operations , , , SCON_Operations backing tag
DnAxis_Mov , SCON_Moves      , , , SCON_Moves backing tag

# ---- status, filled in by SCON_Status -----------------------------
DnAxis_Position            , DINT , , 0 , Actual position, 0.01mm
DnAxis_Speed               , DINT , , 0 , Actual speed, 0.01mm/s
DnAxis_AlarmActive         , BOOL , , 0 , Drive alarm active (ALM)
DnAxis_AlarmCode           , INT  , , 0 , Drive alarm code
DnAxis_BatteryAlarm        , BOOL , , 0 , Battery alarm (BALM)
DnAxis_CommandCurrent      , DINT , , 0 , Command current
DnAxis_HomeComplete        , BOOL , , 0 , Home complete (HEND)
DnAxis_Homing              , BOOL , , 0 , Homing in progress (GHMS)
DnAxis_EStop               , BOOL , , 0 , Drive E-stop (EMGS)
DnAxis_InPushZone          , BOOL , , 0 , In push zone (PUSHS)
DnAxis_InPZone             , BOOL , , 0 , In PZONE
DnAxis_InZone1             , BOOL , , 0 , In zone 1 (ZONE1)
DnAxis_InZone2             , BOOL , , 0 , In zone 2 (ZONE2)
DnAxis_LoadReached         , BOOL , , 0 , Load output reached
DnAxis_DriveManualMode     , BOOL , , 0 , Drive in manual mode (RMDS)
DnAxis_Moving              , BOOL , , 0 , Moving (MOVE)
DnAxis_PositionComplete    , BOOL , , 0 , Position complete (PEND). This is the arrival confirmation
DnAxis_PushFailed          , BOOL , , 0 , Push failed (PSFL)
DnAxis_DriveReady          , BOOL , , 0 , Drive ready (RDY)
DnAxis_ServoOn             , BOOL , , 0 , Servo is on (SV)
DnAxis_TorqueReached       , BOOL , , 0 , Torque level reached (TRQS)
DnAxis_TotalMoveCount      , DINT , , 0 , Total moving count
DnAxis_TotalMoveDistance   , DINT , , 0 , Total moving distance

# ---- commands into SCON_Operations --------------------------------
DnAxis_Cmd_ServoOn         , BOOL , , 0 , Servo enable
DnAxis_Cmd_Pause           , BOOL , , 0 , Pause the drive (STP)
DnAxis_Cmd_Inch            , BOOL , , 0 , Inch select (JISL). Leave off for continuous jog
DnAxis_Cmd_JogFwd          , BOOL , , 0 , Jog forward (JOG+), runs while held
DnAxis_Cmd_JogRev          , BOOL , , 0 , Jog reverse (JOG-), runs while held
DnAxis_Cmd_Reset           , BOOL , , 0 , Alarm reset (RES)
DnAxis_Cmd_BrakeRelease    , BOOL , , 0 , Brake release (BKRL)

# ---- commands into SCON_Moves -------------------------------------
DnAxis_Cmd_Home            , BOOL , , 0  , Rising edge homes the axis
DnAxis_Cmd_StartMove       , BOOL , , 0  , Rising edge runs a move to Target. This is the go command
DnAxis_Target              , DINT , , 0  , Where to go, 0.01mm. Set this before pulsing Cmd_StartMove
DnAxis_Band                , DINT , , 50 , In-position band, 0.01mm
DnAxis_Increment_Select    , BOOL , , 0  , Relative move (INC). Off = absolute moves
DnAxis_Push_Select         , BOOL , , 0  , Push mode. Off = positioning only
DnAxis_Push_Direction      , BOOL , , 0  , Push direction. Unused
DnAxis_Push_Percent        , INT  , , 0  , Push force percent. Unused
DnAxis_Load_Threshold      , INT  , , 0  , Load threshold percent. Unused
DnAxis_PZone_Upper         , DINT , , 0  , PZONE upper limit. Unused
DnAxis_PZone_Lower         , DINT , , 0  , PZONE lower limit. Unused
